Created on,author,is_retweet,is_reply,tweet_id,tweet_body,language,likes,retweet_count,source,medias,user_mentioned,urls,hashtags,symbols
Wed Sep 14 17:57:40 +0000 2022,stock king,False,False,1570109540989009925,"Bullish earnings. We were on the right side of this one for some nice gains.""

https://t.co/VGjQNc0QKr

$UVXY $JPM $DJIA $XSPA $GILD $DAL $NNDM $WISH $SRNE $CRON https://t.co/tSG8BSYYvA",en,,,Twitter Web App, https://twitter.com/Dipanksr12/status/1570109540989009925/photo/1;,, https://discord.io/extrades;,,"[{'text': 'UVXY', 'indices': [104, 109]}, {'text': 'JPM', 'indices': [110, 114]}, {'text': 'DJIA', 'indices': [115, 120]}, {'text': 'XSPA', 'indices': [121, 126]}, {'text': 'GILD', 'indices': [127, 132]}, {'text': 'DAL', 'indices': [133, 137]}, {'text': 'NNDM', 'indices': [138, 143]}, {'text': 'WISH', 'indices': [144, 149]}, {'text': 'SRNE', 'indices': [150, 155]}, {'text': 'CRON', 'indices': [156, 161]}]"
Wed Sep 14 15:34:17 +0000 2022,"Ashish H Kyal, Author",False,False,1570073458830381057,"#Nifty showed sharp recovery today but US DJIA remains concern, everyone talking about decoupling but history shows otherwise, If US continues to collapse money will flow out of emerging markets also, these are medium term views if tomorrow rally happens don't say it doesn't work",en,64,3,Twitter for Android,,,, Nifty;,
Wed Sep 14 11:50:52 +0000 2022,Ashish kumar sharma,False,True,1570017232373317632,"@JustNifty Sir I really wanna get a insight on how to trade such days...! All global indices negative sentiment plus huge fall yesterday. In recent times, Dow has fallen more than 1000 points twice. Bn rallies ruthlessly.

Would really appreciate if u can throw some light on this sir",en,1,,Twitter for Android,, JustNifty;,,,
Wed Sep 14 10:51:43 +0000 2022,The Crypto Academy 21,False,False,1570002346985525249,"Still relatively new to learning EW but just having a little play around on the DJIA so go easy on me if this is incorrect haha

Sorry for the messy chart but looks like we have just started our 3rd wave of the C wave correction with the big bearish candle dropping us 4% today. https://t.co/Lp9zxKNDev",en,,,Twitter Web App, https://twitter.com/TheCryptoAcad21/status/1570002346985525249/photo/1;,,,,
Wed Sep 14 06:42:29 +0000 2022,Mayur Shah | Polestar Capital,False,False,1569939626223349760,"Whn u do ur research well &amp; have strong conviction, u will still fail 2-3 times out of 10. But tht is more than enough to b profitable at the end of the year. Plus u don't really have 2 worry too much &amp; refresh SGX #nifty50 or DJIA chart evry 10 sec. till 2am #NSE #StockMarket",en,20,5,Twitter Web App,,,, nifty50; NSE; StockMarket;,
Tue Sep 13 12:36:10 +0000 2022,Liz Ann Sonders,False,False,1569666246999678979,"Major issue beneath headline: food component of CPI #inflation rose by 11.4% y/y in August, up from +10.9% prior and fastest rate since April 1979 https://t.co/qfX8FBatbn",en,1597,689,Twitter for iPad, https://twitter.com/LizAnnSonders/status/1569666246999678979/photo/1;,,, inflation;,
Wed Sep 14 03:04:23 +0000 2022,Kushal Gupta,False,False,1569884738047062022,"Dow Jones (Highest single-day fall since 2020 - closing basis)
Date         points fall
Mar 16, 2020  -2997.1
Mar 12, 2020  -2352.6
Mar 09, 2020 -2013.76
Jun 11, 2020    -1861.82
Mar 11, 2020   -1464.94
Mar 18, 2020   -1338.46
*Sep 13, 2022  -1278.28*
#DOW #DJIA #usinflation",en,15,2,Twitter Web App,,,, DOW; DJIA; usinflation;,
Tue Sep 13 12:43:03 +0000 2022,David Asman,False,False,1569667979352104962,"Whoops! White House was expecting to celebrate lower inflation today. Instead, monthly rise came in hot. DJIA futures were up over 200.
They immediately tanked to negative 400. Look at food prices: up 11.4%. If it wasnt for lower gas prices, wed be in double digits now!",en,509,281,Twitter for iPhone,,,,,
Wed Sep 14 14:02:58 +0000 2022,Top Stock Alerts,False,False,1570050476590395395,"$DJIA Wholesale costs falls for second month in a row due to cheaper gas but U.S. inflation still intense

https://t.co/PQLATTdOmK",en,2,1,StockTwits Web,,, https://www.marketwatch.com/story/u-s-wholesale-inflation-falls-for-second-month-in-a-row-due-to-cheaper-gas-11663159253?mod=home-page;,,"[{'text': 'DJIA', 'indices': [0, 5]}]"
Tue Sep 13 16:07:21 +0000 2022,#Nuclear Cup OCovfefe,False,True,1569719390265802758,"@JoeBiden Is this why the family net worth dropped $6.1 TRILLION in Q2, Joe?  Is this why inflation increased more than expected in August, Joe?  Is this why the DJIA is crashing right now, Joe?",en,87,6,Twitter for iPhone,, JoeBiden;,,,
