Word	composed/anxious	agreeable/hostile	elated/depressed	confident/unsure	clearheaded/confused	energetic/tired
composed	1.0	0.0	0.0	0.0	0.0	0.0
angry	0.0	-1.0	0.0	0.0	0.0	0.0
cheerful	0.0	0.0	1.0	0.0	0.0	0.0
weak	0.0	0.0	0.0	-1.0	0.0	0.0
tense	-1.0	0.0	0.0	0.0	0.0	0.0
confused	0.0	0.0	0.0	0.0	-1.0	0.0
lively	0.0	0.0	0.0	0.0	0.0	1.0
sad	0.0	0.0	-1.0	0.0	0.0	0.0
friendly	0.0	1.0	0.0	0.0	0.0	0.0
tired	0.0	0.0	0.0	0.0	0.0	-1.0
strong	0.0	0.0	0.0	1.0	0.0	0.0
clearheaded	0.0	0.0	0.0	0.0	1.0	0.0
untroubled	1.0	0.0	0.0	0.0	0.0	0.0
grouchy	0.0	-1.0	0.0	0.0	0.0	0.0
playful	0.0	0.0	1.0	0.0	0.0	0.0
timid	0.0	0.0	0.0	-1.0	0.0	0.0
nervous	-1.0	0.0	0.0	0.0	0.0	0.0
mixed-up	0.0	0.0	0.0	0.0	-1.0	0.0
vigorous	0.0	0.0	0.0	0.0	0.0	1.0
dejected	0.0	0.0	-1.0	0.0	0.0	0.0
kindly	0.0	1.0	0.0	0.0	0.0	0.0
fatigued	0.0	0.0	0.0	0.0	0.0	-1.0
bold	0.0	0.0	0.0	1.0	0.0	0.0
efficient	0.0	0.0	0.0	0.0	1.0	0.0
peaceful	1.0	0.0	0.0	0.0	0.0	0.0
furious	0.0	-1.0	0.0	0.0	0.0	0.0
lighthearted	0.0	0.0	1.0	0.0	0.0	0.0
unsure	0.0	0.0	0.0	-1.0	0.0	0.0
jittery	-1.0	0.0	0.0	0.0	0.0	0.0
bewildered	0.0	0.0	0.0	0.0	-1.0	0.0
energetic	0.0	0.0	0.0	0.0	0.0	1.0
lonely	0.0	0.0	-1.0	0.0	0.0	0.0
sympathetic	0.0	1.0	0.0	0.0	0.0	0.0
exhausted	0.0	0.0	0.0	0.0	0.0	-1.0
